player_name,pid,has_nba_photo,basketball_reference_id,has_basketball_reference_photo,check_error
Kyrie Irving,202681,yes,,,
Kyshawn George,1642273,yes,,,
Lamar Odom,1885,no,odomla01,yes,
LaMarcus Aldridge,200746,yes,,,
LaMelo Ball,1630163,yes,,,
LaPhonso Ellis,111,no,ellisla01,yes,
Larry Bird,1449,yes,,,
Larry Hughes,1716,no,hughela01,yes,
Larry Johnson,913,no,johnsla02,yes,
Larry Nance,77685,no,nancela01,yes,
Latrell Sprewell,84,no,sprewla01,yes,
Lauri Markkanen,1628374,yes,,,
LeBron James,2544,yes,,,
Lionel Simmons,1489,no,simmoli01,no,
Lonzo Ball,1628366,yes,,,
Lou Williams,101150,yes,,,
Luis Scola,2449,yes,,,
Luka Doncic,1629029,yes,,,
Luol Deng,2736,yes,,,
Magic Johnson,77142,yes,,,
Malcolm Brogdon,1627763,yes,,,
Manu Ginobili,1938,yes,,,
Marc Gasol,201188,yes,,,
Marcin Gortat,101162,yes,,,
Marcus Camby,948,yes,,,
Marcus Smart,203935,yes,,,
Mark Jackson,349,no,jacksma01,yes,
Mark Price,899,no,pricema01,yes,
Mark Williams,1631109,yes,,,
Marvin Bagley III,1628963,yes,,,
Matas Buzelis,1641824,yes,,,
Maxime Raynaud,1642875,yes,,,
Mehmet Okur,2246,no,okurme01,yes,
Metta World Peace,1897,yes,,,
Michael Adams,149,no,adamsmi01,yes,
Michael Beasley,201563,yes,,,
Michael Carter-Williams,203487,yes,,,
Michael Finley,714,no,finlemi01,yes,
Michael Jordan,893,yes,,,
Michael Olowokandi,1709,no,olowomi01,yes,
Michael Porter Jr.,1629008,yes,,,
Michael Redd,2072,no,reddmi01,yes,
Micheal Williams,52,no,willimi02,yes,
Mikal Bridges,1628969,yes,,,
Mike Bibby,1710,yes,,,
Mike Conley,201144,yes,,,
Mike Dunleavy,2399,yes,,,
Mike Miller,2034,yes,,,
Miles Bridges,1628970,yes,,,
Mitch Richmond,782,yes,,,
Mitchell Robinson,1629011,yes,,,
Mo Williams,2590,yes,,,
Monta Ellis,101145,yes,,,
Mookie Blaylock,302,yes,,,
Moussa Diabate,1631217,yes,,,
Muggsy Bogues,177,no,boguemu01,yes,
Myles Turner,1626167,yes,,,
Naji Marshall,1630230,yes,,,
Naz Reid,1629675,yes,,,
Neemias Queta,1629674,yes,,,
Nene Hilario,2403,yes,,,
Nerlens Noel,203457,yes,,,
Nic Claxton,1629651,yes,,,
Nick Anderson,98,yes,,,
Nick Van Exel,89,yes,,,
Nickeil Alexander-Walker,1629638,yes,,,
Nicolas Batum,201587,yes,,,
Nikola Jokic,203999,yes,,,
Nikola Mirotic,202703,yes,,,
Nikola Vucevic,202696,yes,,,
Norman Powell,1626181,yes,,,
O.J. Mayo,201564,yes,,,
OG Anunoby,1628384,yes,,,
Olden Polynice,178,no,polynol01,yes,
Oliver Miller,932,no,milleol01,yes,
Onyeka Okongwu,1630168,yes,,,
Orlando Woolridge,78615,no,woolror01,yes,
Otis Thorpe,901,yes,,,
P.J. Brown,136,yes,,,
P.J. Washington,1629023,yes,,,
Paolo Banchero,1631094,yes,,,
Pascal Siakam,1627783,yes,,,
Patrick Ewing,121,yes,,,
Pau Gasol,2200,yes,,,
Paul George,202331,yes,,,
Paul Millsap,200794,yes,,,
Paul Pierce,1718,yes,,,
Payton Pritchard,1630202,yes,,,
Peja Stojakovic,978,yes,,,
Pervis Ellison,442,no,ellispe01,no,
Peyton Watson,1631212,yes,,,
Pooh Richardson,71,no,richapo01,yes,
Precious Achiuwa,1630173,yes,,,
Raef LaFrentz,1711,yes,,,
Rajon Rondo,200765,yes,,,
Rashard Lewis,1740,no,lewisra02,yes,
Rasheed Wallace,739,yes,,,
Ray Allen,951,yes,,,
Raymond Felton,101109,yes,,,
Reed Sheppard,1642263,yes,,,
Reggie Lewis,77384,no,lewisre01,yes,
Reggie Miller,397,yes,,,
Reggie Theus,78310,no,theusre01,yes,
Reggie Williams,199,no,willire01,yes,
Reggie Williams,202130,yes,,,
Richard Hamilton,1888,no,hamilri01,yes,
