personId,firstName,lastName,gamesPlayed,points,assists,reboundsTotal,blocks,steals,turnovers,fieldGoalsAttempted,fieldGoalsMade,threePointersAttempted,threePointersMade,freeThrowsAttempted,freeThrowsMade,guard,forward,center,trueShootingAttempts,ts,fantasyPoints,br_id
2746,Josh,Smith,437,14.794050343249427,3.322654462242563,7.263157894736842,1.4736842105263157,1.17162471395881,2.446224256292906,13.494279176201372,5.97254004576659,2.517162471395881,0.7391304347826086,3.620137299771167,2.1098398169336385,0,1,0,15.087139588100683,0.490286785538777,36.36155606407323,
202689,Kemba,Walker,661,19.90015128593041,5.409984871406959,3.833585476550681,0.394856278366112,1.281391830559758,2.1694402420574885,16.416036308623298,6.871406959152798,6.145234493192133,2.2133131618759454,4.709531013615734,3.944024205748865,1,0,0,18.48822995461422,0.5381843295648703,36.13161875945538,
2744,Al,Jefferson,507,16.003944773175544,1.719921104536489,8.205128205128204,1.155818540433925,0.6942800788954635,1.0887573964497042,14.14792899408284,7.017751479289941,0.0887573964497041,0.0157790927021696,2.676528599605523,1.952662721893491,0,0,1,15.32560157790927,0.5221310462697939,36.11439842209073,
201599,DeAndre,Jordan,752,10.288563829787234,1.0452127659574468,11.784574468085106,1.702127659574468,0.6396276595744681,1.4534574468085106,6.117021276595745,4.122340425531915,0.0119680851063829,0.0013297872340425,4.247340425531915,2.042553191489361,0,0,1,7.985851063829787,0.6441745374132442,35.99335106382979,
202710,Jimmy,Butler,574,17.221254355400696,3.754355400696864,5.158536585365853,0.4825783972125435,1.6114982578397212,1.5540069686411149,12.310104529616725,5.587108013937282,2.637630662020906,0.8780487804878049,6.191637630662021,5.168989547038327,0,1,0,15.034425087108014,0.5727273991397211,35.8588850174216,
1628378,Donovan,Mitchell,225,22.666666666666668,4.031111111111112,4.071111111111111,0.32,1.3066666666666666,2.7422222222222223,18.817777777777778,8.257777777777777,6.8533333333333335,2.435555555555556,4.511111111111111,3.715555555555556,1,0,0,20.802666666666667,0.5448019484681451,35.842222222222226,
201950,Jrue,Holiday,640,16.7625,6.6859375,4.0640625,0.540625,1.5375,2.8265625,14.603125,6.6203125,3.8390625,1.3515625,2.7890625,2.1703125,1,0,0,15.8303125,0.5294431174368794,35.546875,
101115,Andrew,Bynum,140,14.0,1.3357142857142856,9.728571428571428,1.792857142857143,0.3714285714285714,1.8571428571428568,10.242857142857142,5.535714285714286,0.0357142857142857,0.0071428571428571,4.257142857142857,2.9214285714285717,0,0,1,12.116,0.577748431825685,35.53928571428571,bynuman01
2548,Dwyane,Wade,583,19.20754716981132,4.416809605488851,4.519725557461406,0.7272727272727273,1.300171526586621,2.704974271012007,15.332761578044597,7.324185248713551,1.7547169811320755,0.5197255574614065,5.336192109777016,4.039451114922813,1,0,0,17.680686106346485,0.543178784303986,35.31217838765008,
2547,Chris,Bosh,384,18.005208333333332,1.7708333333333333,7.333333333333333,0.8645833333333334,0.8671875,1.7734375,13.6328125,6.7578125,1.9322916666666667,0.6640625,4.75,3.8255208333333335,0,1,0,15.7228125,0.5725823014595299,35.041666666666664,
