personId,firstName,lastName,gamesPlayed,points,assists,reboundsTotal,blocks,steals,turnovers,fieldGoalsAttempted,fieldGoalsMade,threePointersAttempted,threePointersMade,freeThrowsAttempted,freeThrowsMade,guard,forward,center,trueShootingAttempts,ts,fantasyPoints
1559,Adrian,Griffin,71,6.830985915492958,2.492957746478873,5.23943661971831,0.2112676056338028,1.6338028169014085,1.3098591549295775,5.816901408450704,2.464788732394366,0.8028169014084507,0.22535211267605634,2.2253521126760565,1.676056338028169,1,1,0,6.796056338028169,0.5025698416645942,23.190140845070424
275,Allan,Houston,532,16.013157894736842,2.3796992481203008,2.8646616541353382,0.20300751879699247,0.6766917293233082,2.1203007518796992,13.265037593984962,5.921052631578948,3.6033834586466167,1.4605263157894737,3.238721804511278,2.710526315789474,1,0,0,14.690075187969924,0.5450332176601256,23.157894736842103
428,Sherman,Douglas,625,11.0912,6.0368,2.2272,0.0992,0.9664,2.2976,9.032,4.4,0.808,0.2256,3.072,2.0656,1,0,0,10.38368,0.5340688464975808,23.154400000000003
77946,Jerry,Reynolds,145,11.344827586206897,2.524137931034483,3.317241379310345,0.5448275862068965,1.193103448275862,1.9586206896551723,9.406896551724138,3.8758620689655174,0.4689655172413793,0.09655172413793103,4.337931034482758,3.496551724137931,1,0,0,11.315586206896551,0.5012920841561228,23.141379310344828
673,Alan,Henderson,298,10.889261744966444,0.8422818791946308,5.822147651006712,0.5302013422818792,0.7348993288590604,1.419463087248322,9.06711409395973,4.194630872483222,0.06711409395973154,0.013422818791946308,3.8456375838926173,2.4865771812080535,0,1,1,10.759194630872482,0.5060444632965717,23.10738255033557
364,Rex,Chapman,536,14.027985074626866,2.779850746268657,2.3861940298507465,0.1828358208955224,0.8880597014925373,1.5242537313432836,12.020522388059701,5.248134328358209,3.671641791044776,1.3022388059701493,2.763059701492537,2.2294776119402986,1,0,0,13.236268656716417,0.5299070847851336,23.01212686567164
184,Bobby,Phills,467,11.034261241970022,2.6680942184154177,3.145610278372591,0.29764453961456105,1.2676659528907923,1.5224839400428265,9.45610278372591,4.190578158458244,1.880085653104925,0.7323340471092077,2.601713062098501,1.9207708779443255,1,0,0,10.600856531049251,0.5204419666303074,22.971092077087796
445,Wesley,Person,446,12.047085201793722,1.748878923766816,3.5560538116591927,0.336322869955157,0.8856502242152466,1.0201793721973094,10.013452914798206,4.542600896860987,4.237668161434978,1.742152466367713,1.5852017937219731,1.2197309417040358,1,1,0,10.710941704035875,0.562372830264513,22.852017937219724
76176,Rolando,Blackman,270,14.607407407407408,2.7333333333333334,2.5555555555555554,0.2111111111111111,0.6148148148148148,1.5592592592592593,12.537037037037036,5.811111111111111,1.6296296296296295,0.6148148148148148,2.7222222222222223,2.3703703703703702,1,0,0,13.734814814814815,0.5317657210656888,22.72592592592592
371,Terry,Mills,663,10.784313725490197,1.3363499245852186,5.5188536953242835,0.444947209653092,0.5942684766214178,1.2684766214177978,9.34238310708899,4.277526395173454,2.0663650075414783,0.799396681749623,1.8310708898944192,1.4298642533936652,0,1,0,10.148054298642535,0.5313488383153789,22.687028657616892
378,Craig,Ehlo,495,9.571717171717172,2.9494949494949494,3.8181818181818183,0.24848484848484848,1.2242424242424241,1.494949494949495,8.507070707070707,3.81010101010101,2.4868686868686867,0.9050505050505051,1.488888888888889,1.0464646464646465,1,0,0,9.162181818181818,0.5223492265086169,22.624242424242425
335,Willie,Anderson,390,10.192307692307692,3.5076923076923077,3.3153846153846156,0.5692307692307692,0.8538461538461538,1.8051282051282052,9.192307692307692,4.184615384615385,0.8333333333333334,0.22564102564102564,1.9846153846153847,1.5974358974358975,1,1,0,10.06553846153846,0.5062971907192859,22.508974358974353
